CustomerID,LastPurchaseDate,Frequency,Monetary,Recency,R_Score,F_Score,M_Score
13094.0,2011-11-18T14:07:00.000,12,1927.3200000000002,21,3,2,3
17884.0,2011-12-06T11:33:00.000,4,717.45,3,3,1,2
16561.0,2011-12-04T11:50:00.000,2,511.12,5,3,1,2
13973.0,2011-02-25T15:21:00.000,1,264.7,287,1,1,1
14285.0,2011-11-18T14:50:00.000,4,1910.0100000000002,21,3,1,3
17633.0,2011-11-08T13:25:00.000,4,1324.84,31,2,1,3
13956.0,2011-12-04T13:20:00.000,5,1026.42,5,3,2,3
13533.0,2011-06-10T11:54:00.000,3,270.78999999999996,182,1,1,1
13918.0,2011-10-21T12:25:00.000,2,1212.84,49,2,1,3
17267.0,2011-08-04T17:22:00.000,2,317.61999999999995,127,1,1,2
14768.0,2011-11-22T12:54:00.000,2,192.60000000000002,17,3,1,1
15776.0,2011-07-29T13:46:00.000,1,241.62000000000003,133,1,1,1
16629.0,2011-09-27T10:34:00.000,2,417.7299999999999,73,2,1,2
14473.0,2011-09-26T15:10:00.000,2,234.34000000000003,74,2,1,1
18114.0,2011-02-22T13:20:00.000,1,220.1,290,1,1,1
13607.0,2011-10-30T16:17:00.000,1,678.0099999999996,40,2,1,2
12493.0,2011-06-27T10:17:00.000,2,433.74,165,1,1,2
16596.0,2011-11-24T10:02:00.000,2,250.15,15,3,1,1
14024.0,2011-08-10T11:30:00.000,2,327.7,121,1,1,2
14452.0,2011-11-29T12:06:00.000,2,264.44000000000005,10,3,1,1
16916.0,2011-11-16T12:08:00.000,2,576.2599999999999,23,3,1,2
13930.0,2011-10-13T09:45:00.000,2,337.3399999999999,57,2,1,2
15145.0,2011-12-05T17:21:00.000,4,1194.73,4,3,1,3
16656.0,2011-11-17T14:43:00.000,15,8625.800000000003,22,3,2,3
15067.0,2011-09-22T13:20:00.000,3,1744.76,78,2,1,3
13649.0,2011-03-28T11:51:00.000,2,346.6,256,1,1,2
13811.0,2011-06-09T09:54:00.000,3,814.5,183,1,1,2
13142.0,2011-11-20T16:07:00.000,1,307.0899999999999,19,3,1,2
16858.0,2010-12-06T09:52:00.000,1,375.69000000000005,368,1,1,2
18277.0,2011-10-12T15:22:00.000,1,110.38,58,2,1,1
12550.0,2011-09-21T14:35:00.000,1,964.8299999999994,79,2,1,2
16957.0,2011-04-14T13:56:00.000,2,416.64,239,1,1,2
15160.0,2010-12-17T14:15:00.000,1,158.16000000000003,357,1,1,1
14760.0,2011-02-15T16:27:00.000,1,89.2,297,1,1,1
13121.0,2011-03-15T16:47:00.000,1,283.7299999999999,269,1,1,1
13937.0,2011-06-23T16:35:00.000,1,158.85,169,1,1,1
13160.0,2011-11-17T13:07:00.000,1,91.8,22,3,1,1
16212.0,2011-11-20T13:00:00.000,2,690.3399999999999,19,3,1,2
15397.0,2011-02-23T09:25:00.000,1,94.0,289,1,1,1
15311.0,2011-12-09T12:00:00.000,91,60767.899999999994,0,3,3,3
16353.0,2011-12-06T12:23:00.000,23,6675.710000000001,3,3,3,3
15750.0,2011-12-07T12:34:00.000,8,2465.48,2,3,2,3
17659.0,2011-11-22T13:29:00.000,12,2999.46,17,3,2,3
14233.0,2011-10-21T15:54:00.000,4,1462.72,49,2,1,3
13592.0,2011-11-04T09:49:00.000,4,247.95999999999998,35,2,1,1
14211.0,2011-10-17T13:23:00.000,9,2241.1,53,2,2,3
14064.0,2011-11-10T13:14:00.000,5,1353.74,29,3,2,3
17392.0,2011-02-06T12:48:00.000,2,457.91,306,1,1,2
12609.0,2011-09-22T16:34:00.000,3,1126.85,78,2,1,3
16600.0,2011-12-05T16:00:00.000,6,813.5200000000001,4,3,2,2
17715.0,2011-05-23T12:32:00.000,1,326.4,200,1,1,2
13596.0,2011-12-04T12:01:00.000,2,697.0399999999998,5,3,1,2
